Age,Attrition,DistanceFromHome,Education,EmployeeID,Gender,JobLevel,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,avg_hours_per_day,std_hours_per_day,days_absent,days_over_8h,avg_arrival_hour,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single
45,0,17,2,11,1,2,79910,0.0,13,2,21.0,2,20,4,10,3.0,4.0,3.0,2,3,8.403485477178425,0.3083233939116,20,222,9.985961272475796,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False
36,0,28,1,12,1,1,33770,0.0,12,2,16.0,2,15,10,11,3.0,4.0,3.0,3,3,7.06895458736745,0.30973383319804865,20,0,9.989557399723374,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
55,0,14,4,13,0,1,55380,0.0,17,0,37.0,2,36,4,13,4.0,1.0,3.0,3,3,9.301409509946627,0.28886323837076794,32,229,10.010625909752548,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True
47,1,1,1,14,1,1,57620,1.0,11,2,10.0,4,10,9,9,1.0,2.0,2.0,2,3,9.399931442080378,0.29226652785680385,26,235,9.996099290780142,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False
28,0,1,3,15,1,1,25920,1.0,14,0,5.0,2,5,0,4,4.0,4.0,2.0,3,3,6.08968764407561,0.2897538656914085,20,0,10.00076071922545,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False
37,0,1,3,16,1,2,53460,4.0,11,0,7.0,2,5,0,1,3.0,4.0,4.0,3,3,6.705174636661979,0.31725964327391604,24,0,9.999226441631505,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
21,0,3,2,17,1,1,42130,1.0,12,3,3.0,3,3,1,0,4.0,3.0,4.0,2,3,6.619040626529614,0.31396253642597743,34,0,10.030543318649046,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
37,0,1,3,18,1,2,41270,2.0,13,1,15.0,2,5,0,2,1.0,4.0,3.0,3,3,11.014328139114726,0.3096964342975207,15,246,9.999661246612467,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
35,0,7,4,19,1,1,24380,7.0,16,0,10.0,5,7,6,2,2.0,2.0,2.0,2,3,6.960253831417625,0.314945915821745,29,0,9.980531609195403,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
38,0,8,3,20,0,1,68700,1.0,11,1,8.0,5,8,7,7,1.0,1.0,3.0,3,3,9.293555796055795,0.2963884015180485,30,231,10.023304473304472,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
26,0,1,4,21,1,2,104470,1.0,18,0,6.0,3,6,1,4,3.0,2.0,1.0,3,3,7.590778256704982,0.317876322859857,29,27,9.985847701149426,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
50,0,8,4,22,1,1,96670,3.0,23,0,28.0,2,10,1,6,1.0,2.0,2.0,2,4,6.008613495469718,0.29300926732118104,28,0,9.98090128755365,False,True,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
53,0,11,4,23,0,2,21480,3.0,11,0,21.0,2,5,1,3,3.0,3.0,2.0,3,3,8.402108477011494,0.30298867053530126,29,210,9.995043103448278,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False
42,0,4,4,24,1,1,89260,1.0,14,0,10.0,4,20,11,6,2.0,3.0,3.0,1,3,6.8070052800734615,0.3155869205724915,19,0,9.989118457300275,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False
29,0,16,4,25,1,1,65130,1.0,11,1,10.0,2,10,0,9,2.0,4.0,2.0,3,3,7.093167388167388,0.3219874360961485,30,1,9.963564213564215,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True
55,0,1,4,26,0,1,67990,3.0,11,0,12.0,2,10,0,8,2.0,4.0,3.0,3,3,9.362002074688798,0.2812382254202834,20,241,10.018464730290455,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False
26,0,9,3,27,0,1,162910,1.0,22,0,5.0,3,5,3,3,1.0,1.0,3.0,3,4,10.977123430962344,0.2966332412542106,22,239,9.997280334728034,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False
37,0,5,1,28,1,1,27050,1.0,11,0,17.0,2,17,5,7,4.0,4.0,3.0,3,3,7.604444444444445,0.29583577896635027,25,22,9.983474576271187,False,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True
44,1,1,2,29,1,2,103330,3.0,14,1,19.0,2,1,0,0,4.0,3.0,1.0,2,3,10.97758573388203,0.311821460995057,18,243,10.008299039780523,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
38,0,2,3,30,0,1,44480,9.0,12,0,10.0,3,2,1,2,4.0,4.0,3.0,2,3,6.8312753623188405,0.2816235668075111,31,0,9.983768115942027,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
26,1,4,3,31,1,3,68540,2.0,11,0,5.0,5,3,0,2,1.0,2.0,3.0,2,3,10.109408263305323,0.3076482089710232,23,238,9.996848739495798,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
28,0,7,3,32,1,1,96370,1.0,13,0,5.0,6,5,0,2,4.0,4.0,3.0,2,3,6.709665977961433,0.2999596428160105,19,0,9.969283746556474,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True
49,0,1,1,33,0,2,35910,9.0,13,0,22.0,2,3,1,2,3.0,1.0,3.0,3,3,10.518214624881292,0.29884449644944855,27,234,10.0002849002849,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
36,0,5,3,34,1,3,54050,4.0,14,0,10.0,2,8,7,7,3.0,2.0,3.0,3,3,6.182887517146776,0.27760267901505425,18,0,9.962894375857339,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True
31,0,9,4,35,1,1,46840,1.0,16,1,2.0,4,2,2,2,4.0,2.0,2.0,3,3,6.586388888888888,0.2984167125865237,21,0,10.026250000000001,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
26,1,8,3,36,1,2,157870,1.0,12,2,8.0,5,8,7,4,4.0,4.0,3.0,3,3,10.272241379310346,0.3035182369118388,29,232,9.939655172413794,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
37,0,9,1,37,1,1,15140,1.0,14,0,4.0,3,4,1,2,2.0,4.0,2.0,3,3,9.982733011937558,0.2858516734525315,19,242,10.000413223140496,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False
42,0,2,2,38,1,3,29560,5.0,13,0,23.0,2,20,4,8,3.0,2.0,4.0,3,3,5.979567632850242,0.2972133732676858,31,0,10.004782608695654,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
18,1,1,4,39,1,1,23350,1.0,14,2,0.0,3,0,0,0,3.0,3.0,3.0,2,3,6.775967939304944,0.2921177931173167,34,0,9.98582966226138,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True
35,0,20,2,40,1,1,51540,0.0,19,0,12.0,2,11,6,9,3.0,2.0,2.0,2,3,7.690160390516039,0.3056256998247581,22,34,10.021548117154811,False,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
36,0,8,3,41,0,3,69620,4.0,12,2,4.0,2,1,0,0,3.0,3.0,3.0,2,3,7.204732468123862,0.2845449299508924,17,0,10.030191256830602,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False
51,0,2,3,42,1,2,56750,5.0,13,0,13.0,2,4,1,2,4.0,2.0,3.0,2,3,7.594769503546099,0.30514299567200004,26,26,10.044326241134751,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
41,0,29,1,43,1,1,23790,1.0,12,0,22.0,6,22,0,4,4.0,2.0,3.0,3,3,6.95264233241506,0.3178550153173413,19,0,9.993457300275482,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
18,0,7,3,44,1,1,38120,1.0,15,0,0.0,3,0,0,0,4.0,3.0,3.0,3,3,7.008878472222222,0.3149531071288215,21,0,9.952916666666669,False,True,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True
28,0,9,3,45,1,1,46480,0.0,23,2,9.0,2,8,0,7,2.0,1.0,3.0,2,4,7.201573315118397,0.29589456457123897,17,1,9.970696721311475,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True
31,0,8,1,46,1,1,29360,4.0,12,1,10.0,2,8,7,7,2.0,4.0,2.0,3,3,7.1728749999999994,0.30817033367282526,21,2,10.003472222222221,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False
39,0,5,4,47,0,2,21050,0.0,20,0,19.0,3,18,3,7,3.0,4.0,2.0,3,4,7.636801418439717,0.3116720861036219,26,28,9.97581560283688,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
36,0,5,4,48,1,1,85780,7.0,21,0,11.0,4,9,0,8,2.0,2.0,3.0,3,4,7.83278129395218,0.2961809089177023,24,62,9.995569620253164,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
32,0,2,3,49,1,2,27060,1.0,21,1,13.0,4,13,4,8,4.0,3.0,2.0,3,4,6.974765051395007,0.3119167284795888,34,0,10.012408223201174,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False
38,0,5,2,50,0,3,63840,3.0,19,2,19.0,4,10,0,1,1.0,2.0,3.0,2,3,6.906424220272905,0.28961518777707396,33,0,9.982748538011696,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False
58,0,2,3,51,1,2,39680,2.0,13,2,12.0,3,5,1,2,4.0,3.0,3.0,2,3,10.895463728191,0.30420544569324187,19,242,9.98422865013774,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
31,0,20,1,52,0,3,99070,0.0,13,1,6.0,3,5,0,3,3.0,4.0,3.0,2,3,9.125665729020158,0.30316557211889955,24,237,9.98466947960619,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False
31,0,7,4,53,1,2,132250,3.0,21,1,9.0,2,2,1,0,1.0,1.0,3.0,3,4,6.831459786145978,0.27906181250549916,22,0,9.980404463040447,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False
45,0,3,1,54,0,1,35400,1.0,13,0,24.0,6,24,9,11,1.0,1.0,3.0,3,3,7.3160499058380415,0.3104232425048926,25,5,9.997316384180792,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
31,0,16,4,55,0,2,28040,0.0,19,2,3.0,0,2,2,2,3.0,4.0,1.0,3,3,8.610798041894354,0.311583892199974,17,237,9.998497267759562,False,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
33,0,9,3,56,1,4,193920,6.0,12,1,12.0,3,10,8,8,4.0,2.0,3.0,3,3,6.784845288326301,0.2950064383650507,24,0,9.994866385372717,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
39,0,1,4,57,1,1,196650,1.0,22,1,21.0,6,21,11,10,3.0,1.0,3.0,3,4,10.986099773242628,0.3159426398769554,16,245,10.018775510204083,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
43,0,7,4,58,1,4,24390,0.0,15,0,9.0,2,8,1,7,3.0,4.0,3.0,3,3,7.68658467939305,0.3027352732521384,34,39,9.997503671071954,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
49,0,1,3,59,1,3,73140,7.0,22,0,25.0,2,7,0,7,3.0,3.0,3.0,3,4,9.948856881572931,0.31319429085940464,18,243,10.003840877914952,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
52,1,7,1,60,0,2,47740,2.0,18,1,11.0,2,8,7,7,3.0,2.0,2.0,3,3,7.9055276615527665,0.312018951040719,22,93,9.967294281729428,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False
27,0,15,4,61,1,3,39020,1.0,22,0,4.0,2,4,1,2,3.0,2.0,2.0,3,4,10.672414617486337,0.30162828552207793,17,244,9.984562841530055,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
32,0,1,3,62,1,3,26620,1.0,11,1,13.0,6,13,11,9,3.0,2.0,3.0,4,3,10.496171548117156,0.2915206454350033,22,239,10.002649930264992,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False
27,0,13,2,63,0,4,28560,1.0,12,2,5.0,5,5,0,4,4.0,3.0,3.0,4,3,10.069261664261665,0.31270897252420343,30,231,10.00930735930736,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
31,0,24,3,64,1,2,10810,4.0,11,3,13.0,4,7,1,7,4.0,4.0,3.0,4,3,6.607014174668495,0.29476917057123964,18,0,9.98278463648834,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
32,0,7,3,65,1,2,24720,7.0,13,0,10.0,2,7,0,7,1.0,4.0,2.0,3,3,7.497914908579466,0.2832914658104325,24,12,9.987834036568215,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
28,1,9,4,66,1,1,56730,5.0,14,1,5.0,4,3,2,2,1.0,4.0,2.0,2,3,10.727235717498877,0.2729194524850313,14,247,10.007287449392713,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False
30,0,13,3,67,0,4,41970,1.0,13,0,11.0,3,10,1,9,4.0,4.0,3.0,3,3,6.184816810344828,0.30135470770984446,29,0,9.996336206896553,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
31,0,2,1,68,0,1,97130,1.0,17,0,10.0,5,10,8,9,3.0,3.0,3.0,2,3,6.609300048947627,0.2789062847518742,34,0,10.01145374449339,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False
39,0,19,4,69,0,1,20620,1.0,13,0,21.0,4,21,13,3,3.0,4.0,3.0,3,3,6.07624634502924,0.2804976538442189,33,0,10.020175438596493,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False
39,1,1,1,70,0,1,42840,4.0,17,1,12.0,0,1,0,0,4.0,3.0,2.0,3,3,9.971745709123757,0.28548736032515265,15,246,9.99058265582656,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False
33,0,4,2,71,1,4,47880,3.0,11,1,9.0,0,7,0,1,2.0,4.0,2.0,3,3,7.42145202020202,0.2917561304865799,19,5,10.002134986225897,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True
47,0,4,3,72,0,2,59060,4.0,23,0,21.0,4,3,1,1,4.0,3.0,3.0,4,4,6.493810013717422,0.2847527394155275,18,0,10.009670781893004,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
43,0,14,3,73,0,5,38860,1.0,17,2,9.0,2,9,0,0,3.0,3.0,4.0,3,3,6.299470449172577,0.2845542656240089,26,0,10.024964539007092,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
27,0,2,3,74,1,1,168230,0.0,17,0,6.0,3,5,1,4,3.0,2.0,3.0,3,3,9.316973304473304,0.29133856258140395,30,231,10.028210678210678,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
54,0,1,4,75,1,2,29330,3.0,12,2,20.0,2,4,0,3,4.0,3.0,2.0,3,3,6.097862787356322,0.2879511325468833,29,0,9.99719827586207,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True
43,0,7,2,76,0,2,65000,8.0,23,0,10.0,3,1,0,0,3.0,1.0,2.0,3,4,7.217327264239029,0.285977028084907,23,0,10.017016806722689,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False
45,0,3,1,77,0,1,171740,9.0,14,1,12.0,6,10,9,8,4.0,4.0,3.0,3,3,7.100070018365472,0.30205774991902257,19,0,10.003305785123965,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False
40,0,2,4,78,1,4,50330,2.0,14,2,6.0,6,4,0,2,2.0,4.0,2.0,3,3,9.914107744107746,0.2982920757272086,30,231,10.00064935064935,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False
29,1,29,3,79,0,1,23070,1.0,13,1,7.0,0,7,0,7,2.0,1.0,2.0,3,3,10.477788647342997,0.3013667810340338,31,230,9.97876811594203,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False
29,0,8,3,80,1,3,25870,0.0,22,2,4.0,3,3,2,2,2.0,4.0,3.0,3,4,6.906938633193863,0.2945512458116299,22,0,10.001952580195258,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True
30,0,10,3,81,1,2,55070,1.0,12,2,10.0,2,10,1,2,4.0,3.0,3.0,2,3,7.58909243295019,0.30339471163352477,29,20,9.980890804597701,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
27,0,11,2,82,1,1,43930,1.0,18,1,8.0,2,8,0,7,2.0,2.0,3.0,2,3,6.079724499089253,0.2943418133372729,17,0,9.98681693989071,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
37,0,1,4,83,1,2,133480,7.0,14,0,8.0,4,6,0,4,4.0,4.0,2.0,3,3,6.001112288135593,0.28698764661637055,25,0,9.990607344632767,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
38,0,28,4,84,1,1,65830,0.0,12,0,12.0,1,11,2,9,3.0,4.0,3.0,3,3,8.983123278236915,0.30337051660835973,19,242,10.018870523415977,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
31,0,6,3,85,0,3,81030,1.0,15,1,11.0,5,11,4,10,3.0,4.0,3.0,3,3,10.426184640522877,0.3131386822963048,23,238,9.970448179271706,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
29,0,3,4,86,1,3,39780,1.0,11,0,7.0,0,7,1,7,4.0,2.0,3.0,3,3,8.387526183970857,0.27280974179862133,17,225,9.971448087431694,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
35,0,16,2,87,1,3,25440,0.0,13,1,17.0,3,16,0,13,3.0,2.0,3.0,4,3,7.9120386266094425,0.29151719521946,28,95,9.949785407725322,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True
23,0,20,4,88,1,1,53990,1.0,23,0,4.0,2,4,0,2,3.0,4.0,2.0,2,4,7.105291842475386,0.29158108857541104,24,1,10.009774964838256,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
41,0,9,2,89,0,1,54870,6.0,19,2,8.0,0,5,1,2,4.0,2.0,3.0,3,3,9.688633193863318,0.2863867818652617,22,239,10.008019525801952,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
47,0,1,3,90,0,2,68340,3.0,16,1,5.0,2,0,0,0,2.0,3.0,3.0,4,3,7.770347512784752,0.3013260125248705,22,52,9.980892608089261,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True
42,0,3,4,91,1,1,10910,2.0,22,0,16.0,0,1,0,0,1.0,4.0,3.0,1,4,6.284280356305673,0.2970647525484169,24,0,9.992756680731366,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True
29,0,22,4,92,1,2,57360,1.0,22,0,4.0,1,4,0,2,4.0,3.0,2.0,2,4,6.306108726752504,0.3147514859255347,28,0,10.010228898426323,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False
42,0,7,4,93,1,3,22260,0.0,12,1,4.0,3,3,1,0,3.0,3.0,3.0,2,3,8.831585038986356,0.3114763351845715,33,227,10.00701754385965,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
32,0,2,3,94,1,2,57470,1.0,13,0,8.0,0,8,0,7,3.0,2.0,3.0,3,3,7.722377344877344,0.30367038294252924,30,45,9.993145743145744,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False
48,0,13,4,95,1,4,98540,3.0,16,1,15.0,2,0,0,0,1.0,3.0,1.0,2,3,7.317479732951836,0.2713736160733708,28,1,9.96874105865522,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False
37,0,8,5,96,1,2,54670,4.0,12,0,13.0,2,7,6,7,3.0,1.0,3.0,3,3,10.798262483130904,0.2956162887590206,14,247,9.971457489878542,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
30,0,25,4,97,1,1,53800,7.0,21,1,4.0,0,2,2,2,4.0,3.0,4.0,3,4,10.40136394557823,0.30439825025914796,16,245,9.96421768707483,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
26,0,28,3,98,0,5,51510,1.0,15,3,8.0,3,8,7,7,3.0,3.0,3.0,3,3,5.994326703246457,0.30340839593398033,18,0,9.98792866941015,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False
42,0,2,2,99,0,1,21330,3.0,13,2,14.0,2,1,0,0,1.0,4.0,3.0,3,3,6.113110181311018,0.32177730447442116,22,0,9.979707112970711,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True
21,1,9,3,100,0,4,178750,1.0,12,0,3.0,5,3,1,2,1.0,2.0,3.0,2,3,8.133578096539162,0.2979867210928537,17,170,9.990983606557378,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True
36,0,28,3,101,1,2,24320,4.0,22,0,7.0,4,1,0,0,4.0,4.0,3.0,1,4,7.306164990421457,0.32273693686207344,29,2,9.965158045977011,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
36,0,6,3,102,0,2,47710,4.0,13,1,16.0,2,13,1,12,1.0,4.0,3.0,3,3,7.105030345471522,0.3052452368512967,23,0,9.98578431372549,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False
57,0,21,4,103,1,5,191610,2.0,18,0,15.0,2,3,1,2,4.0,3.0,3.0,1,3,6.327729314420803,0.29569685392448375,26,0,9.998368794326241,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False
40,0,8,3,104,1,2,50870,3.0,14,1,10.0,3,7,1,7,4.0,3.0,3.0,3,3,8.1285121602289,0.2861738073402626,28,155,9.993562231759658,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False
21,0,1,5,105,0,2,28630,1.0,14,0,3.0,2,3,2,2,1.0,4.0,2.0,1,3,7.98643255701116,0.26726010049843396,32,107,9.981077147016011,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True
33,1,28,2,106,0,5,55610,1.0,21,1,1.0,3,1,0,0,4.0,3.0,3.0,1,4,10.509096921596921,0.30665045566291943,30,231,10.004906204906204,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
37,0,5,3,107,1,4,21440,6.0,19,0,17.0,3,5,0,3,3.0,1.0,3.0,4,3,7.9932840307840305,0.2918022262172735,30,108,9.99935064935065,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False
46,0,2,4,108,0,2,30650,2.0,11,0,7.0,3,1,0,0,3.0,3.0,4.0,3,3,6.103653752436647,0.2760742462786244,33,0,9.988596491228073,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False
41,1,16,1,109,0,1,28100,1.0,11,0,8.0,3,8,7,7,1.0,2.0,3.0,4,3,7.587908917501192,0.28092136449257993,28,15,9.989628040057223,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
